ID_Orden,Referencia,Cantidad,Fecha_Entrega,Precio_Unitario,Producido
30,Empaque siliconado agujero 8 mm,1,2025-06-30,0.01,1.0
31,Empaque siliconado agujero 8 mm,1,2025-06-30,0.01,6.0
31,Perfil Silicona Cuadrado,3,2025-06-30,0.01,0.0
31,Empaque siliconado agujero 8 mm,5,2025-06-30,0.01,6.0
32,Grommet motoventilador,100,2025-06-30,400.0,59.0
33,Diafragma R4 UPSO,100,2025-07-12,450.0,0.0
33,Diafragma R4 UPSO,100,2025-07-19,450.0,0.0
33,Diafragma R4 UPSO,100,2025-07-26,450.0,0.0
34,Empaque siliconado agujero 8 mm,1,2025-07-16,0.01,2.0
34,Empaque siliconado agujero 8 mm,1,2025-07-16,0.01,2.0
34,Tope Nitrilo Vidrio,1,2025-07-16,0.01,80.0
35,Empaque siliconado agujero 8 mm,200,2025-07-25,250.0,670.0
35,Tope NItrilo Gabinete,200,2025-07-25,250.0,200.0
36,Empaque siliconado agujero 8 mm,200,2025-07-25,200.0,0.0
36,Perfil Silicona Empotre,200,2025-07-25,250.0,0.0
37,Empaque siliconado agujero 8 mm,2000,2025-07-31,400.0,0.0
