ID_OP,Referencia,Cantidad_Producir,OC_Origen,Cantidad_OC,Fecha_Entrega,clave
OP-0001,Empaque siliconado agujero 8 mm,1.0,23456,1,2025-06-30,
OP-0001,Empaque siliconado agujero 8 mm,1.0,34567,1,2025-06-30,
OP-0001,Empaque siliconado agujero 8 mm,5.0,34567,5,2025-06-30,
OP-0001,Perfil Silicona Cuadrado,3.0,34567,3,2025-06-30,
OP-0002,Empaque siliconado agujero 8 mm,1.0,OC-11111,1,2025-07-16,
OP-0002,Empaque siliconado agujero 8 mm,1.0,OC-11111,1,2025-07-16,
OP-0002,Tope Nitrilo Vidrio,1.0,OC-11111,1,2025-07-16,
OP-0003,Grommet motoventilador,100.0,12345,100,2025-06-30,
OP-0004,Diafragma R4 UPSO,100.0,OC3432,100,2025-07-12,
OP-0005,Diafragma R4 UPSO,100.0,OC3432,100,2025-07-19,
OP-0006,Diafragma R4 UPSO,50.0,OC3432,100,2025-07-26,
OP-0007,Empaque siliconado agujero 8 mm,120.0,OC-23432,200,2025-07-25,
OP-0008,Empaque siliconado agujero 8 mm,1.0,30,1,2025-06-30,
OP-0008,Empaque siliconado agujero 8 mm,1.0,31,1,2025-06-30,
OP-0008,Empaque siliconado agujero 8 mm,5.0,31,5,2025-06-30,
OP-0008,Empaque siliconado agujero 8 mm,1.0,34,1,2025-07-16,
OP-0008,Empaque siliconado agujero 8 mm,1.0,34,1,2025-07-16,
OP-0009,Tope NItrilo Gabinete,200.0,35,200,2025-07-25,
OP-0010,Empaque siliconado agujero 8 mm,50.0,35,200,2025-07-25,
OP-0011,Grommet motoventilador,59.0,32,100,2025-06-30,
OP-0012,Diafragma R4 UPSO,50.0,OC3432,100,2025-07-26,
OP-0013,Empaque siliconado agujero 8 mm,200.0,65765,200,2025-07-25,
OP-0014,Perfil Silicona Empotre,120.0,65765,200,2025-07-25,
OP-0015,Perfil Silicona Empotre,50.0,65765,200,2025-07-25,
