ID_OP,Cliente,Fecha_Creacion,Estado
OP-0001,Industria de Estufas Continental S.A,2025-07-01,En proceso
OP-0002,Industria de Estufas Continental S.A,2025-07-16,En proceso
OP-0003,Grupo North,2025-07-16,En proceso
OP-0004,Industrias Humcar,2025-07-18,En proceso
OP-0005,Industrias Humcar,2025-07-18,En proceso
OP-0006,Industrias Humcar,2025-07-18,En proceso
OP-0007,Industria de Estufas Continental S.A,2025-07-18,En proceso
OP-0008,Industria de Estufas Continental S.A,2025-07-18,En proceso
OP-0009,Industria de Estufas Continental S.A,2025-07-18,En proceso
OP-0010,Industria de Estufas Continental S.A,2025-07-18,En proceso
OP-0011,Grupo North,2025-07-18,En proceso
OP-0012,Industrias Humcar,2025-07-18,En proceso
OP-0013,Industria de Estufas Continental S.A,2025-07-18,En proceso
OP-0014,Industria de Estufas Continental S.A,2025-07-18,En proceso
OP-0015,Industria de Estufas Continental S.A,2025-07-18,En proceso
